Date	Time	ShopType	Owner	TradingPlayer	World	X	Y	Z	CostList	ProductList
2024-07-01	10:48:05	Trade	nasu_chacha	PuneetD	nasu vally	576.0	65.0	-590.0	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3839,"type":"EMERALD","amount":18}}	{"Item #0":{"==":"org.bukkit.inventory.ItemStack","v":3839,"type":"ENCHANTED_BOOK","meta":{"==":"ItemMeta","meta-type":"ENCHANTED","stored-enchants":{"minecraft:efficiency":5}}}}
